,Test Accuracy,Round,Method
0,27.708333333333332,10,fedavg
1,54.739583333333336,20,fedavg
2,59.270833333333336,30,fedavg
3,65.20833333333334,40,fedavg
4,66.82291666666666,50,fedavg
5,68.90625,60,fedavg
6,69.27083333333334,70,fedavg
7,74.94791666666667,80,fedavg
8,69.68750000000001,90,fedavg
9,73.17708333333333,100,fedavg
10,78.33333333333333,110,fedavg
11,73.90625,120,fedavg
12,75.26041666666667,130,fedavg
13,80.59375,140,fedavg
14,86.46875,150,fedavg
15,30.625,10,hrank
16,55.20833333333333,20,hrank
17,64.94791666666667,30,hrank
18,66.25,40,hrank
19,68.02083333333334,50,hrank
20,70.05208333333333,60,hrank
21,69.58333333333334,70,hrank
22,68.80208333333334,80,hrank
23,75.52083333333334,90,hrank
24,74.47916666666667,100,hrank
25,73.69791666666667,110,hrank
26,78.80208333333333,120,hrank
27,80.80208333333334,130,hrank
28,82.47916666666666,140,hrank
29,84.43750000000001,150,hrank
30,47.39583333333333,10,calim
31,61.979166666666664,20,calim
32,65.10416666666666,30,calim
33,71.35416666666666,40,calim
34,73.95833333333334,50,calim
35,77.60416666666666,60,calim
36,78.64583333333334,70,calim
37,83.85416666666666,80,calim
38,82.8125,90,calim
39,82.29166666666666,100,calim
40,85.9375,110,calim
41,84.375,120,calim
42,84.375,130,calim
43,82.8125,140,calim
44,85.41666666666666,150,calim
